sDlcMarker,sOpenSimMarker
scapula_anterior,M_RScapulaAnt
scapula_posterior,M_RScapulaPost
humerus_deltoid_tuberosity,M_RA1H_DT
humerus_lateral_epcdl,M_RA1H_LE
humerus_medial_epcdl,M_RA1H_ME
ulna_olecranon,M_RA2U_OL
ulna_bend,M_RA2U_D
ulna_styloid,M_RA2U_SP
radius_styloid,M_RA2R_SP
radius_wrist_center,M_RA2R_M
hand_center,M_RA3M
d1_mc_body,M_RA4P1_B
d1_mc_head,M_RA4P1_H
d1_p1_head,M_RA5C1_H
d1_p2_head,M_RA6D1_H
d2_mc_head,M_RA3M_D2
d2_p1_head,M_RA4P2_H
d2_p2_head,M_RA5C2_H
d2_p3_head,M_RA6D2_H
d3_mc_head,M_RA3M_D3
d3_p1_head,M_RA4P3_H
d3_p2_head,M_RA5C3_H
d3_p3_head,M_RA6D3_H
d4_mc_head,M_RA3M_D4
d4_p1_head,M_RA4P4_H
d4_p2_head,M_RA5C4_H
d4_p3_head,M_RA6D4_H
d5_mc_head,M_RA3M_D5
d5_p1_head,M_RA4P5_H
d5_p2_head,M_RA5C5_H
d5_p3_head,M_RA6D5_H
tp_back_c,M_RATP5_B
tp_front_c,M_RATP5_F
tp_left_c,M_RATP5_L
tp_right_c,M_RATP5_R
